0,4,10,453.77
0.01,0.18421,10.02,328.01
0.02,-2.5698,10.007,236.37
0.03,-4.5502,9.9711,169.6
0.04,-5.967,9.9181,120.97
0.05,-6.9733,9.8531,85.545
0.06,-7.6806,9.7796,59.753
0.07,-8.1703,9.7002,40.98
0.08,-8.5017,9.6167,27.322
0.09,-8.7178,9.5305,17.393
0.1,-8.8503,9.4426,10.181
0.11,-8.922,9.3537,4.9491
0.12,-8.9497,9.2644,1.1605
0.13,-8.9455,9.1749,-1.5766
0.14,-8.9183,9.0855,-3.5474
0.15,-8.8747,8.9965,-4.96
0.16,-8.8193,8.9081,-5.966
0.17,-8.7555,8.8202,-6.6758
0.18,-8.6858,8.733,-7.17
0.19,-8.6121,8.6465,-7.5073
0.2,-8.5357,8.5607,-7.7304
0.21,-8.4575,8.4758,-7.8706
0.22,-8.3783,8.3916,-7.9505
0.23,-8.2985,8.3082,-7.9867
0.24,-8.2186,8.2256,-7.9913
0.25,-8.1387,8.1438,-7.973
0.26,-8.0591,8.0629,-7.9384
0.27,-7.9799,7.9827,-7.8919
0.28,-7.9013,7.9033,-7.8371
0.29,-7.8232,7.8246,-7.7764
0.3,-7.7457,7.7468,-7.7117
0.31,-7.6689,7.6697,-7.6441
0.32,-7.5928,7.5934,-7.5747
0.33,-7.5174,7.5179,-7.5043
0.34,-7.4428,7.4431,-7.4331
0.35,-7.3688,7.369,-7.3618
0.36,-7.2955,7.2957,-7.2904
0.37,-7.223,7.2231,-7.2192
0.38,-7.1511,7.1512,-7.1484
0.39,-7.08,7.0801,-7.078
0.4,-7.0096,7.0096,-7.0081
0.41,-6.9398,6.9399,-6.9388
0.42,-6.8708,6.8708,-6.87
0.43,-6.8024,6.8024,-6.8019
0.44,-6.7348,6.7348,-6.7343
0.45,-6.6677,6.6678,-6.6674
0.46,-6.6014,6.6014,-6.6012
0.47,-6.5357,6.5357,-6.5356
0.48,-6.4707,6.4707,-6.4706
0.49,-6.4063,6.4063,-6.4062
0.5,-6.3426,6.3426,-6.3425
0.51,-6.2795,6.2795,-6.2794
0.52,-6.217,6.217,-6.2169
0.53,-6.1551,6.1551,-6.1551
0.54,-6.0939,6.0939,-6.0938
0.55,-6.0332,6.0332,-6.0332
0.56,-5.9732,5.9732,-5.9732
0.57,-5.9138,5.9138,-5.9138
0.58,-5.8549,5.8549,-5.8549
0.59,-5.7967,5.7967,-5.7967
0.6,-5.739,5.739,-5.739
0.61,-5.6819,5.6819,-5.6819
0.62,-5.6253,5.6253,-5.6253
0.63,-5.5694,5.5694,-5.5694
0.64,-5.514,5.514,-5.514
0.65,-5.4591,5.4591,-5.4591
0.66,-5.4048,5.4048,-5.4048
0.67,-5.351,5.351,-5.351
0.68,-5.2978,5.2978,-5.2978
0.69,-5.245,5.245,-5.245
0.7,-5.1929,5.1929,-5.1929
0.71,-5.1412,5.1412,-5.1412
0.72,-5.09,5.09,-5.09
0.73,-5.0394,5.0394,-5.0394
0.74,-4.9892,4.9892,-4.9892
0.75,-4.9396,4.9396,-4.9396
0.76,-4.8904,4.8904,-4.8904
0.77,-4.8418,4.8418,-4.8418
0.78,-4.7936,4.7936,-4.7936
0.79,-4.7459,4.7459,-4.7459
0.8,-4.6987,4.6987,-4.6987
0.81,-4.6519,4.6519,-4.6519
0.82,-4.6056,4.6056,-4.6056
0.83,-4.5598,4.5598,-4.5598
0.84,-4.5144,4.5144,-4.5144
0.85,-4.4695,4.4695,-4.4695
0.86,-4.4251,4.4251,-4.4251
0.87,-4.381,4.381,-4.381
0.88,-4.3374,4.3374,-4.3374
0.89,-4.2943,4.2943,-4.2943
0.9,-4.2515,4.2515,-4.2515
0.91,-4.2092,4.2092,-4.2092
0.92,-4.1674,4.1674,-4.1674
0.93,-4.1259,4.1259,-4.1259
0.94,-4.0848,4.0848,-4.0848
0.95,-4.0442,4.0442,-4.0442
0.96,-4.004,4.004,-4.004
0.97,-3.9641,3.9641,-3.9641
0.98,-3.9247,3.9247,-3.9247
0.99,-3.8856,3.8856,-3.8856
1,-3.847,3.847,-3.847
1.01,-3.8087,3.8087,-3.8087
1.02,-3.7708,3.7708,-3.7708
1.03,-3.7333,3.7333,-3.7333
1.04,-3.6961,3.6961,-3.6961
1.05,-3.6593,3.6593,-3.6593
1.06,-3.6229,3.6229,-3.6229
1.07,-3.5869,3.5869,-3.5869
1.08,-3.5512,3.5512,-3.5512
1.09,-3.5159,3.5159,-3.5159
1.1,-3.4809,3.4809,-3.4809
1.11,-3.4462,3.4462,-3.4462
1.12,-3.4119,3.4119,-3.4119
1.13,-3.378,3.378,-3.378
1.14,-3.3444,3.3444,-3.3444
1.15,-3.3111,3.3111,-3.3111
1.16,-3.2782,3.2782,-3.2782
1.17,-3.2455,3.2455,-3.2455
1.18,-3.2132,3.2132,-3.2132
1.19,-3.1813,3.1813,-3.1813
1.2,-3.1496,3.1496,-3.1496
1.21,-3.1183,3.1183,-3.1183
1.22,-3.0873,3.0873,-3.0873
1.23,-3.0565,3.0565,-3.0565
1.24,-3.0261,3.0261,-3.0261
1.25,-2.996,2.996,-2.996
1.26,-2.9662,2.9662,-2.9662
