time,x1,x2,y_1,y_2,y_3,u
0,4,10,4,10,55.82186966203,-55.82186966203
0.01,3.52128965128647,10.0375906903604,3.52128965128647,10.0375906903604,53.7103274961354,-53.7103274961354
0.02,3.06117195653765,10.0704877662551,3.06117195653765,10.0704877662551,51.6688261423014,-51.6688261423014
0.03,2.61902617125336,10.0988740336445,2.61902617125336,10.0988740336445,49.6951237993192,-49.6951237993192
0.04,2.19425145712057,10.1229261911092,2.19425145712057,10.1229261911092,47.7870496493085,-47.7870496493085
0.05,1.78626625134131,10.1428150257412,1.78626625134131,10.1428150257412,45.9425016176791,-45.9425016176791
0.06,1.39450765586668,10.1587056028291,1.39450765586668,10.1587056028291,44.1594442037074,-44.1594442037074
0.07,1.01843084590913,10.1707574495326,1.01843084590913,10.1707574495326,42.4359063795016,-42.4359063795016
0.08,0.657508497125489,10.1791247327353,0.657508497125489,10.1791247327353,40.7699795552017,-40.7699795552017
0.09,0.311230230881926,10.1839564312607,0.311230230881926,10.1839564312607,39.1598156083268,-39.1598156083268
0.1,-0.0208979229690984,10.1853965026291,-0.0208979229690984,10.1853965026291,37.6036249752472,-37.6036249752472
0.11,-0.339354046352068,10.183584044527,-0.339354046352068,10.183584044527,36.0996748028242,-36.0996748028242
0.12,-0.644600836806501,10.1786534511568,-0.644600836806501,10.1786534511568,34.646287158322,-34.646287158322
0.13,-0.937086095417772,10.1707345646279,-0.937086095417772,10.1707345646279,33.2418372957543,-33.2418372957543
0.14,-1.21724319934218,10.1599528215458,-1.21724319934218,10.1599528215458,31.8847519768877,-31.8847519768877
0.15,-1.485491559412,10.1464293949515,-1.485491559412,10.1464293949515,30.5735078451789,-30.5735078451789
0.16,-1.74223706329095,10.1302813317568,-1.74223706329095,10.1302813317568,29.3066298509788,-29.3066298509788
0.17,-1.98787250463566,10.1116216858189,-1.98787250463566,10.1116216858189,28.0826897263859,-28.0826897263859
0.18,-2.22277799870438,10.0905596467912,-2.22277799870438,10.0905596467912,26.9003045081861,-26.9003045081861
0.19,-2.4473213848402,10.0672006648841,-2.4473213848402,10.0672006648841,25.7581351073625,-25.7581351073625
0.2,-2.66185861624282,10.0416465716649,-2.66185861624282,10.0416465716649,24.6548849237074,-24.6548849237074
0.21,-2.86673413742947,10.013995697022,-2.86673413742947,10.013995697022,23.5892985041163,-23.5892985041163
0.22,-3.06228124977331,9.98434298241384,-3.06228124977331,9.98434298241384,22.5601602431855,-22.5601602431855
0.23,-3.24882246549524,9.95278009052137,-3.24882246549524,9.95278009052137,21.5662931247816,-21.5662931247816
0.24,-3.42666985047318,9.91939551141607,-3.42666985047318,9.91939551141607,20.6065575032911,-20.6065575032911
0.25,-3.59612535622151,9.88427466535471,-3.59612535622151,9.88427466535471,19.6798499232988,-19.6798499232988
0.26,-3.75748114138215,9.84750000230689,-3.75748114138215,9.84750000230689,18.7851019764854,-18.7851019764854
0.27,-3.911019883058,9.8091510983188,-3.911019883058,9.8091510983188,17.9212791945703,-17.9212791945703
0.28,-4.05701507830922,9.76930474881304,-4.05701507830922,9.76930474881304,17.0873799771629,-17.0873799771629
0.29,-4.19573133612233,9.72803505892138,-4.19573133612233,9.72803505892138,16.2824345534245,-16.2824345534245
0.3,-4.32742466015284,9.68541353094425,-4.32742466015284,9.68541353094425,15.5055039764729,-15.5055039764729
0.31,-4.45234272253221,9.64150914902767,-4.45234272253221,9.64150914902767,14.7556791494985,-14.7556791494985
0.32,-4.5707251290211,9.59638846114562,-4.5707251290211,9.59638846114562,14.0320798825932,-14.0320798825932
0.33,-4.68280367578167,9.55011565847301,-4.68280367578167,9.55011565847301,13.3338539793231,-13.3338539793231
0.34,-4.78880259803349,9.50275265223176,-4.78880259803349,9.50275265223176,12.6601763521081,-12.6601763521081
0.35,-4.88893881084877,9.45435914808979,-4.88893881084877,9.45435914808979,12.0102481655001,-12.0102481655001
0.36,-4.98342214233515,9.40499271819029,-4.98342214233515,9.40499271819029,11.3832960064814,-11.3832960064814
0.37,-5.0724555594459,9.35470887088637,-5.0724555594459,9.35470887088637,10.7785710809301,-10.7785710809301
0.38,-5.15623538665027,9.30356111825329,-5.15623538665027,9.30356111825329,10.1953484354294,-10.1953484354294
0.39,-5.23495151768903,9.25160104144893,-5.23495151768903,9.25160104144893,9.63292620362097,-9.63292620362097
0.4,-5.30878762063357,9.19887835399023,-5.30878762063357,9.19887835399023,9.09062487632927,-9.09062487632927
0.41,-5.37792133645944,9.14544096301175,-5.37792133645944,9.14544096301175,8.56778659470725,-8.56778659470725
0.42,-5.44252447133935,9.09133502856999,-5.44252447133935,9.09133502856999,8.06377446567815,-8.06377446567815
0.43,-5.50276318285334,9.03660502105534,-5.50276318285334,9.03660502105534,7.57797189897042,-7.57797189897042
0.44,-5.55879816030836,8.98129377677167,-5.55879816030836,8.98129377677167,7.10978196506528,-7.10978196506528
0.45,-5.61078479935286,8.92544255174122,-5.61078479935286,8.92544255174122,6.65862677339763,-6.65862677339763
0.46,-5.65887337106654,8.86909107379125,-5.65887337106654,8.86909107379125,6.22394687017213,-6.22394687017213
0.47,-5.70320918569943,8.81227759297664,-5.70320918569943,8.81227759297664,5.80520065517589,-5.80520065517589
0.48,-5.74393275122927,8.75503893039114,-5.74393275122927,8.75503893039114,5.4018638169893,-5.4018638169893
0.49,-5.78117992690049,8.6974105254183,-5.78117992690049,8.6974105254183,5.01342878601478,-5.01342878601478
0.5,-5.81508207190339,8.63942648147141,-5.81508207190339,8.63942648147141,4.63940420476211,-4.63940420476211
0.51,-5.84576618934659,8.58111961027031,-5.84576618934659,8.58111961027031,4.27931441484605,-4.27931441484605
0.52,-5.87335506567147,8.52252147470141,-5.87335506567147,8.52252147470141,3.93269896016979,-3.93269896016979
0.53,-5.89796740565237,8.46366243030575,-5.89796740565237,8.46366243030575,3.59911210578378,-3.59911210578378
0.54,-5.91971796312182,8.40457166543853,-5.91971796312182,8.40457166543853,3.27812237192597,-3.27812237192597
0.55,-5.93871766755572,8.34527724014218,-5.93871766755572,8.34527724014218,2.96931208276473,-2.96931208276473
0.56,-5.95507374664919,8.28580612377381,-5.95507374664919,8.28580612377381,2.67227692938119,-2.67227692938119
0.57,-5.96888984500956,8.22618423142633,-5.96888984500956,8.22618423142633,2.38662554654203,-2.38662554654203
0.58,-5.98026613908902,8.16643645918161,-5.98026613908902,8.16643645918161,2.11197910282788,-2.11197910282788
0.59,-5.98929944847576,8.10658671823256,-5.98929944847576,8.10658671823256,1.84797090369657,-1.84797090369657
0.6,-5.9960833436583,8.04665796791007,-5.9960833436583,8.04665796791007,1.59424600707321,-1.59424600707321
0.61,-6.00070825037467,7.98667224764947,-6.00070825037467,7.98667224764947,1.3504608510724,-1.3504608510724
0.62,-6.00326155065382,7.92665070793009,-6.00326155065382,7.92665070793009,1.11628289346993,-1.11628289346993
0.63,-6.00382768065414,7.86661364022057,-6.00382768065414,7.86661364022057,0.89139026255377,-0.89139026255377
0.64,-6.0024882253998,7.8065805059613,-6.0024882253998,7.8065805059613,0.675471418995389,-0.675471418995389
0.65,-5.99932201051307,7.74656996461465,-5.99932201051307,7.74656996461465,0.468224828394144,-0.468224828394144
0.66,-5.99440519103747,7.68659990081253,-5.99440519103747,7.68659990081253,0.269358644158197,-0.269358644158197
0.67,-5.98781133744348,7.62668745062975,-5.98781133744348,7.62668745062975,0.0785904003960373,-0.0785904003960373
0.68,-5.97961151890578,7.56684902701121,-5.97961151890578,7.56684902701121,-0.104353285496881,0.104353285496881
0.69,-5.96987438393839,7.50710034437947,-5.96987438393839,7.50710034437947,-0.279737000862181,0.279737000862181
0.7,-5.95866623847078,7.44745644244892,-5.95866623847078,7.44745644244892,-0.447816816709213,0.447816816709213
0.71,-5.94605112144613,7.38793170927152,-5.94605112144613,7.38793170927152,-0.608840557839057,0.608840557839057
0.72,-5.93209087801967,7.32853990353882,-5.93209087801967,7.32853990353882,-0.763048064439532,0.763048064439532
0.73,-5.91684523043319,7.26929417616344,-5.91684523043319,7.26929417616344,-0.910671445420132,0.910671445420132
0.74,-5.90037184663884,7.21020709116333,-5.90037184663884,7.21020709116333,-1.05193532374731,1.05193532374731
