0,-24.536
0.1,-20.628
0.2,-17.262
0.3,-14.368
0.4,-11.884
0.5,-9.7567
0.6,-7.9391
0.7,-6.3902
0.8,-5.0738
0.9,-3.9588
1,-3.0177
1.1,-2.2266
1.2,-1.5647
1.3,-1.0139
1.4,-0.55847
1.5,-0.18467
1.6,0.11937
1.7,0.36397
1.8,0.55807
1.9,0.70939
2,0.82461
2.1,0.9095
2.2,0.969
2.3,1.0074
2.4,1.0283
2.5,1.0349
2.6,1.0299
2.7,1.0155
2.8,0.99371
2.9,0.96611
3,0.93411
3.1,0.89887
3.2,0.86138
3.3,0.82243
3.4,0.78269
3.5,0.74272
3.6,0.70296
3.7,0.66377
3.8,0.62543
3.9,0.58816
4,0.55214
4.1,0.51748
4.2,0.48427
4.3,0.45257
4.4,0.42241
4.5,0.39378
4.6,0.3667
4.7,0.34112
4.8,0.31702
4.9,0.29436
5,0.27309
5.1,0.25316
5.2,0.23451
5.3,0.21708
5.4,0.20081
5.5,0.18564
5.6,0.17152
5.7,0.15839
5.8,0.14618
5.9,0.13484
